"","full_text","Handle","text"
"1","RT @ReverendWarnock: It's a beautiful day to vote, Georgia!","barbara","RT  ReverendWarnock  It s a beautiful day to vote  Georgia "
"2","RT @SpeakerPelosi: It’s staggering that it needs repeating: Hitler and his Nazi regime are the embodiment of evil.

Being a celebrity isn't…","barbara","RT  SpeakerPelosi  It s staggering that it needs repeating  Hitler and his Nazi regime are the embodiment of evil 

Being a celebrity isn t "
"3","Appreciate that Ga. GOP Lt. Guv doesn’t support the  GOP Senate candidate. But after waiting for an hour he doesn’t vote at all. He should’ve followed  this from our president: “Don’t compare any candidate to the almighty but to the alternative.” (Who is dangerously unqualified)","barbara","Appreciate that Ga  GOP Lt  Guv doesn t support the  GOP Senate candidate  But after waiting for an hour he doesn t vote at all  He should ve followed  this from our president   Don t compare any candidate to the almighty but to the alternative    Who is dangerously unqualified "
"4","Clarence &amp; Ginny Thomas should celebrate that Congress protected their marriage from him! The Justice put marriages like his at risk, putting Big Brother ahead of freedom. Even ahead of his marriage! Wonder what Mrs. Thomas thought of that.","barbara","Clarence  amp  Ginny Thomas should celebrate that Congress protected their marriage from him  The Justice put marriages like his at risk  putting Big Brother ahead of freedom  Even ahead of his marriage  Wonder what Mrs  Thomas thought of that "
"5","In 1996 when Congress banned same sex marriage,I said on the  Senate  floor: “To me, this is ugly politics…it’s about dividing us instead of bringing us together.” Thank you to 61 Senators for bringing us together because  whom you love  is NOT the business of Congress.","barbara","In 1996 when Congress banned same sex marriage I said on the  Senate  floor   To me  this is ugly politics it s about dividing us instead of bringing us together   Thank you to 61 Senators for bringing us together because  whom you love  is NOT the business of Congress "
"6","RT @ReverendWarnock: Herschel Walker is wrong for Georgia.","barbara","RT  ReverendWarnock  Herschel Walker is wrong for Georgia "
"7","New advisor to Trump,a holocaust denier supremacist, tells the loser to ditch teleprompter &amp;  speak directly to his base. Genius! Why speak hatred in full sentences and commas, when he can spit out venom straight from his heart. Haters ❤️ it and GOP stays silent. #Voteblue","barbara","New advisor to Trump a holocaust denier supremacist  tells the loser to ditch teleprompter  amp   speak directly to his base  Genius  Why speak hatred in full sentences and commas  when he can spit out venom straight from his heart  Haters  it and GOP stays silent   Voteblue"
"8","Always an honor to add my perspective on @talkingfedspod Listen here: https://t.co/LE1mlXW9Pb","barbara","Always an honor to add my perspective on  talkingfedspod Listen here  "
"9","Deep hate plus gun violence must stop. Innocents struck down for just being. Politicians like DeSantis self-described “protector of God”is hurting God’s children. “Don’t say Gay” means don’t BE gay and hate follows.Trump or DeSantis?One has orange hair.Both hate.","barbara","Deep hate plus gun violence must stop  Innocents struck down for just being  Politicians like DeSantis self described  protector of God is hurting God s children   Don t say Gay  means don t BE gay and hate follows Trump or DeSantis One has orange hair Both hate "
"10","I came up with the great Nancy Pelosi. Reminiscing is sweet.  @symonemsnbc
https://t.co/2HmafLYmJK","barbara","I came up with the great Nancy Pelosi  Reminiscing is sweet   symonemsnbc
"
"11","Latest Trump quote: “I am the most honest and innocent person in our country.” Really? And I am a 6 foot tall Nobel peace prize winner.","barbara","Latest Trump quote   I am the most honest and innocent person in our country   Really  And I am a 6 foot tall Nobel peace prize winner "
"12","RT @IssuesOn1: Come January, Republicans will hold the House, while Democrats control the Senate. @ArielWesler asked @BarbaraBoxer about wh…","barbara","RT  IssuesOn1  Come January  Republicans will hold the House  while Democrats control the Senate   ArielWesler asked  BarbaraBoxer about wh "
"13","RT @IssuesOn1: House Speaker Nancy Pelosi announced today that she won't run for leadership in the next Congress. @BarbaraBoxer told @Ariel…","barbara","RT  IssuesOn1  House Speaker Nancy Pelosi announced today that she won t run for leadership in the next Congress   BarbaraBoxer told  Ariel "
"14","Thank you Speaker Pelosi for your dedication to the people of your district and the entire country. Thank you for the clarity of your leadership where the core is always “for the people”.You made the best kind of history. And you are still there fighting for us!@SpeakerPelosi","barbara","Thank you Speaker Pelosi for your dedication to the people of your district and the entire country  Thank you for the clarity of your leadership where the core is always  for the people  You made the best kind of history  And you are still there fighting for us  SpeakerPelosi"
"15","Biggest loser back!
Loser of 3 million jobs.
Loser of thousands of lives from covid.
Loser of respect from world leaders.
Loser of precious time to fight climate change.
Loser of midterm elections.
We reject this loser.
#voteblue","barbara","Biggest loser back 
Loser of 3 million jobs 
Loser of thousands of lives from covid 
Loser of respect from world leaders 
Loser of precious time to fight climate change 
Loser of midterm elections 
We reject this loser 
 voteblue"
"16","RT @WomensReport: (D) Barbara Boxer: Instead of a red wave, they got a red stop sign. https://t.co/R4zmx7RyPb","barbara","RT  WomensReport   D  Barbara Boxer  Instead of a red wave  they got a red stop sign  "
"17","Thank you Nevadans for rejecting the politics of hate,fear and division. Thank you young voters all over America for stepping up and connecting the dots between your future and those who have it in their hands. Beautiful blue.","barbara","Thank you Nevadans for rejecting the politics of hate fear and division  Thank you young voters all over America for stepping up and connecting the dots between your future and those who have it in their hands  Beautiful blue "
"18","GOP premature victory dance: before great jobs news, before Obama, before Oprah, before voters learn nine of 10 highest murder states are red, highest poverty states red, and proof of GOP Social Security attack. High turnout essential for blue wins.#Vote","barbara","GOP premature victory dance  before great jobs news  before Obama  before Oprah  before voters learn nine of 10 highest murder states are red  highest poverty states red  and proof of GOP Social Security attack  High turnout essential for blue wins  Vote"
"19","To those who are spreading crazy garbage about the brutal attack on the Speaker’s husband: the truth shall set you free but the disgusting right wing stupid lies you regurgitate shall keep your soul in a lonely, dark, dank, prison.
#votebluein2022","barbara","To those who are spreading crazy garbage about the brutal attack on the Speaker s husband  the truth shall set you free but the disgusting right wing stupid lies you regurgitate shall keep your soul in a lonely  dark  dank  prison 
 votebluein2022"
