"","full_text","Handle","text"
"1","RT @varadmehta: ""Among split-ticket voters, DeSantis’ net favorability rating is +7, Biden’s is -21, and Trump’s is -36.""

""Additionally, 6…","ben","RT  varadmehta   Among split ticket voters  DeSantis  net favorability rating is +7  Biden s is  21  and Trump s is  36  

 Additionally  6 "
"2","RT @JoshKraushaar: ""FTX’s collapse was a crime, not an accident. Sam Bankman-Fried is a con man and fraudster of historic proportions.”
htt…","ben","RT  JoshKraushaar   FTX s collapse was a crime  not an accident  Sam Bankman Fried is a con man and fraudster of historic proportions  
htt "
"3","RT @McCormickProf: The brilliant legal philosopher Sherif Girgis re-posts his argument from the Masterpiece Cakeshop case in anticipation o…","ben","RT  McCormickProf  The brilliant legal philosopher Sherif Girgis re posts his argument from the Masterpiece Cakeshop case in anticipation o "
"4","RT @michaelshermer: Superb example of science at work: the long-accepted theory that conservatives see the world as more dangerous than lib…","ben","RT  michaelshermer  Superb example of science at work  the long accepted theory that conservatives see the world as more dangerous than lib "
"5","RT @MichaelWarbur17: In 2006 a high school English teacher asked students to write to a famous author &amp; ask for advice.

Kurt Vonnegut was…","ben","RT  MichaelWarbur17  In 2006 a high school English teacher asked students to write to a famous author  amp  ask for advice 

Kurt Vonnegut was "
"6","RT @Michele_Tafoya: #Freedom #SchoolChoice https://t.co/2h0WWeg8Gf","ben","RT  Michele Tafoya   Freedom  SchoolChoice "
"7","RT @larryelder: Part 2

Well, this is one way to reverse California’s population loss.

“Newsom's reparations committee will recommend hand…","ben","RT  larryelder  Part 2

Well  this is one way to reverse California s population loss 

 Newsom s reparations committee will recommend hand "
"8","RT @baseballcrank: This is why this race still matters.","ben","RT  baseballcrank  This is why this race still matters "
"9","RT @EdMorrissey: @benshapiro Yep, it's both, and it's a disgrace that his family/friends/staff haven't done something about the latter.

ht…","ben","RT  EdMorrissey   benshapiro Yep  it s both  and it s a disgrace that his family friends staff haven t done something about the latter 

ht "
"10","RT @jordanbpeterson: What can possibly be said that isn't said in this headline?  https://t.co/fUNhDbjaRt","ben","RT  jordanbpeterson  What can possibly be said that isn t said in this headline   "
"11","1. Ye is a Jew-hater of extraordinarily high order;
2. Ye is suffering a mental breakdown.
These things are not mutually exclusive.","ben","1  Ye is a Jew hater of extraordinarily high order 
2  Ye is suffering a mental breakdown 
These things are not mutually exclusive "
"12","RT @NAChristakis: Huge walls made wholly of human skulls.","ben","RT  NAChristakis  Huge walls made wholly of human skulls "
"13","RT @lachlan: Pretty wild story on a multi-state network of fake conservative social media pages that popped up late in the cycle to hit Rep…","ben","RT  lachlan  Pretty wild story on a multi state network of fake conservative social media pages that popped up late in the cycle to hit Rep "
"14","RT @DaveStephens11: "". . citing left-leaning sources like Vox, The New Yorker, The Guardian and The Boston Globe as reliable, while citing…","ben","RT  DaveStephens11       citing left leaning sources like Vox  The New Yorker  The Guardian and The Boston Globe as reliable  while citing "
"15","RT @MartyMakary: New JAMA Study: Long-Haul 3 mo. after Covid not very different than after other respiratory infections. In fact, ""improvem…","ben","RT  MartyMakary  New JAMA Study  Long Haul 3 mo  after Covid not very different than after other respiratory infections  In fact   improvem "
"16","RT @Kredo0: .@SenTedCruz tells me: ""The Biden administration is filled with partisans who hate Israel and Benjamin Netanyahu."" https://t.co…","ben","RT  Kredo0    SenTedCruz tells me   The Biden administration is filled with partisans who hate Israel and Benjamin Netanyahu   "
"17","RT @MattWalshBlog: If I was an optimistic man I would at least hope that Kanye West's mental breakdown and self-immolation would persuade c…","ben","RT  MattWalshBlog  If I was an optimistic man I would at least hope that Kanye West s mental breakdown and self immolation would persuade c "
"18","RT @Heritage: .@benshapiro on the Senate passing the so-called ""Respect for Marriage Act"": 

""The fact that many of the Republicans went al…","ben","RT  Heritage    benshapiro on the Senate passing the so called  Respect for Marriage Act   

 The fact that many of the Republicans went al "
"19","RT @BillFOXLA: Fantastic work @hillary__vaughn","ben","RT  BillFOXLA  Fantastic work  hillary  vaughn"
"20","The Left loves to talk about the evils of crony capitalism, yet they give billions of dollars to their friends in the private sector.

It's only bad when it's someone they don't like. It's why they want to investigate Elon, but give standing ovations for fraudsters like SBF. https://t.co/QpZ8Ke743N","ben","The Left loves to talk about the evils of crony capitalism  yet they give billions of dollars to their friends in the private sector 

It s only bad when it s someone they don t like  It s why they want to investigate Elon  but give standing ovations for fraudsters like SBF  "
"21","RT @yashar: Horrific scenes out of China as the CCP continues to crack down on innocent people. 

This man was ordered off to quarantine ev…","ben","RT  yashar  Horrific scenes out of China as the CCP continues to crack down on innocent people  

This man was ordered off to quarantine ev "
"22","@DGreenbaum I totally agree with this, obviously.","ben"," DGreenbaum I totally agree with this  obviously "
"23","Ye is clearly suffering from a mental breakdown. It’s an act of cruelty to have him on the air at this point. He needs treatment, not a spotlight.","ben","Ye is clearly suffering from a mental breakdown  It s an act of cruelty to have him on the air at this point  He needs treatment  not a spotlight "
"24","RT @yaf: Flashback to when @benshapiro got threatened for *checks notes* giving basic biological facts https://t.co/ete9RrkTBR","ben","RT  yaf  Flashback to when  benshapiro got threatened for  checks notes  giving basic biological facts "
"25","RT @PollsAndVotes: Our new national @MULawPoll is out

DeSantis gains support, now moving up to a tie with Biden among registered voters na…","ben","RT  PollsAndVotes  Our new national  MULawPoll is out

DeSantis gains support  now moving up to a tie with Biden among registered voters na "
"26","RT @SirajAHashmi: https://t.co/Mu8fZoyDQb","ben","RT  SirajAHashmi  "
"27","RT @iowahawkblog: SBF September / SBF November https://t.co/Ji0skfZgeJ","ben","RT  iowahawkblog  SBF September   SBF November "
"28","RT @kkondik: Looking at the new ""crossover"" members of the House (Ds in Trump districts, Rs in Biden districts). Rs have now won more cross…","ben","RT  kkondik  Looking at the new  crossover  members of the House  Ds in Trump districts  Rs in Biden districts   Rs have now won more cross "
"29","RT @wil_da_beast630: Like, in the world.

Interesting data. Notice that all the ""rising power"" Black African states are right around the gl…","ben","RT  wil da beast630  Like  in the world 

Interesting data  Notice that all the  rising power  Black African states are right around the gl "
"30","RT @elonmusk: Slides from my Twitter company talk https://t.co/8LLXrwylta","ben","RT  elonmusk  Slides from my Twitter company talk "
"31","RT @WillHild: .@ArthurBrooks on corporations going woke:

""We need to tell CEOs...3% of your employees are activists...blowing up your Slac…","ben","RT  WillHild    ArthurBrooks on corporations going woke 

 We need to tell CEOs   3  of your employees are activists   blowing up your Slac "
"32","RT @jasonrantz: NEW: Seattle City Council voted to permanently defund 80 police positions in a department already dangerously understaffed.…","ben","RT  jasonrantz  NEW  Seattle City Council voted to permanently defund 80 police positions in a department already dangerously understaffed  "
"33","RT @jtLOL: ""That's punishment enough. Right, guys? Hello?""","ben","RT  jtLOL   That s punishment enough  Right  guys  Hello  "
"34","RT @ByronYork: Sam Bankman-Fried is asked how his parents ended up on the deed of a $16.4 million home in the Bahamas. Who knows? He's not…","ben","RT  ByronYork  Sam Bankman Fried is asked how his parents ended up on the deed of a $16 4 million home in the Bahamas  Who knows  He s not "
"35","RT @BradWilcoxIFS: Parenthood is the pathway to misery, immiseration &amp; planetary degradation.

This is the message too many young women (&amp;…","ben","RT  BradWilcoxIFS  Parenthood is the pathway to misery  immiseration  amp  planetary degradation 

This is the message too many young women   amp  "
"36","RT @realDailyWire: Biden celebrates historic use of Strategic Petroleum Reserves to lower gas prices

@benshapiro: ""He's just rambling nons…","ben","RT  realDailyWire  Biden celebrates historic use of Strategic Petroleum Reserves to lower gas prices

 benshapiro   He s just rambling nons "
